City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
438,Paluan,PH,84.79,overcast clouds,13.415999999999999,120.4623,Mom's Bed and Breakfast
439,Half Moon Bay,US,84.11,fog,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
440,Lattes,FR,74.41,clear sky,43.5675,3.9046,Résidence Les Consuls de la Mer
441,Palasa,IN,83.23,overcast clouds,18.7667,84.4167,Balaji tifen & meals veg & non veg hotel
446,Sarangani,PH,83.26,overcast clouds,5.4033,125.4636,JVL Inn and Cafeteria
447,Paka,MY,82.33,few clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
448,Kalnibolotskaya,RU,70.27,overcast clouds,46.0058,40.4568,гостиница ОАО «Радуга»
449,Porto Novo,BJ,76.82,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
454,Tecoanapa,MX,80.71,overcast clouds,16.5167,-98.75,Hotel Manglares
455,Sal Rei,CV,73.2,few clouds,16.1833,-22.9167,Marine Club Beach Resort
456,Tura,IN,83.98,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
458,Sinnamary,GF,76.91,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
459,Rosetta,EG,75.79,clear sky,31.4044,30.4164,Green Valley
460,Pundaguitan,PH,83.95,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
461,Sakakah,SA,80.17,few clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
462,Mardan,PK,81.3,broken clouds,34.2019,72.0525,Post Graduate Hostel
463,Kawalu,ID,81.27,overcast clouds,-7.3817,108.2082,West Jontor
464,Aquiraz,BR,78.89,scattered clouds,-3.9014,-38.3911,Pousada Rua Camurupim
466,Puerto Parra,CO,82.56,overcast clouds,6.6515,-74.0573,Casa Hotel Villa Johana
470,Solnechnyy,RU,81.93,overcast clouds,50.7214,136.6319,Hotel complex Pastoral
471,Sampit,ID,87.19,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
474,Coruripe,BR,72.99,broken clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
478,Noumea,NC,75.99,light rain,-22.2763,166.4572,Hôtel Le Lagon
479,Matay,EG,76.44,clear sky,28.419,30.7792,Nag Aespen
480,Kirakira,SB,83.77,few clouds,-10.4544,161.9205,SanBiz Lodge
482,Brokopondo,SR,76.32,heavy intensity rain,4.75,-55.1667,Matu Island
487,Jieshi,CN,84.99,overcast clouds,22.8134,115.8257,Yuehai Hotel
488,Aguilas,ES,76.1,clear sky,37.4063,-1.5829,Hotel Carlos III
489,Longkou,CN,78.08,broken clouds,37.6508,120.3286,Pai Hotel Yantai Longkou City Heping Road
491,Tabou,CI,74.48,scattered clouds,4.423,-7.3528,hotêl doufoulougou
492,Belyy Yar,RU,75.85,clear sky,53.6039,91.3903,Pasportnyy Stol
493,Pasighat,IN,83.77,overcast clouds,28.0667,95.3333,Siang Guest House
496,Uribia,CO,81.5,overcast clouds,11.7139,-72.266,Hotel Uribia
497,Saint Anthony,US,82.29,scattered clouds,45.0205,-93.21799999999999,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
498,Colares,PT,70.79,scattered clouds,38.7992,-9.4469,Arribas Sintra Hotel
503,Volchikha,RU,77.36,clear sky,52.0333,80.3833,Gostinitsa
504,Tabriz,IR,78.26,clear sky,38.08,46.2919,Sina Hotel
509,Srivardhan,IN,79.43,overcast clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
510,Grand Gaube,MU,70.2,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
512,Muscat,OM,86.02,overcast clouds,23.6139,58.5922,Mutrah Hotel
515,Tabas,IR,91.71,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
516,Aboso,GH,71.02,broken clouds,5.3617,-1.9473,New Atuabo
517,Fort-Shevchenko,KZ,84.72,clear sky,44.5086,50.263000000000005,Oasis hotel Bautino
521,Bijie,CN,76.33,clear sky,27.3125,105.2942,Four Points by Sheraton Bijie
522,Bontang,ID,84.83,scattered clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
525,Shimoda,JP,87.1,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
532,Borzya,RU,70.57,broken clouds,50.3833,116.5167,Tikhiy
534,Sao Jose Da Coroa Grande,BR,74.17,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
536,Bhavnagar,IN,80.55,moderate rain,21.7667,72.15,Hotel Mausam
538,Kijang,KR,80.33,moderate rain,35.2442,129.2139,Samyang Beach Villa
539,Hirado,JP,91.38,broken clouds,33.3597,129.5531,Samson Hotel
540,Peleduy,RU,72.07,broken clouds,59.6289,112.7406,Гостиница «Уют»
541,Maceio,BR,74.64,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
544,Rincon,US,78.85,overcast clouds,32.296,-81.2354,Days Inn Rincon
548,Corinth,GR,71.89,clear sky,37.9407,22.9573,Ephira Hotel
551,Hami,CN,88.48,scattered clouds,42.8,93.45,Laoyutang Resort
552,Manoel Urbano,BR,75.24,broken clouds,-8.8389,-69.2597,Baixada Beira Rio
553,Rodrigues Alves,BR,72.86,overcast clouds,-7.7379999999999995,-72.6509,Pousada Aconchego
555,Kununurra,AU,73.38,few clouds,-15.7667,128.7333,Hotel Kununurra
558,Olinda,BR,74.93,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
560,Abu Kamal,SY,78.69,clear sky,34.4506,40.9171,البوكمال
564,Rafiganj,IN,87.94,clear sky,24.8167,84.65,Umesh sweets
565,Vuktyl,RU,71.94,scattered clouds,63.8567,57.3094,Mini-Hotel Lokomotiv
567,Sovetskiy,RU,73.11,scattered clouds,61.3614,63.5842,Apartment on Kievskaya 29
