City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
278,Gat,IL,31.61,34.7642,75.88,100,14,5.17,few clouds
279,Betare Oya,CM,5.6,14.0833,65.55,99,95,3.0,light rain
280,Severo-Kurilsk,RU,50.6789,156.125,61.03,83,100,3.89,overcast clouds
281,Camacha,PT,33.0833,-16.3333,65.62,77,40,19.57,scattered clouds
282,Tuensang,IN,26.2833,94.8333,79.61,84,46,0.27,scattered clouds
283,Warrnambool,AU,-38.3833,142.4833,53.82,58,100,18.01,overcast clouds
284,Moranbah,AU,-22.0016,148.0466,62.4,48,0,15.41,clear sky
285,Nauta,PE,-4.5061,-73.5757,71.62,99,97,2.35,overcast clouds
286,Gazanjyk,TM,39.2446,55.5154,83.08,20,0,12.44,clear sky
287,Norman Wells,CA,65.282,-126.8329,75.24,46,75,6.91,smoke
288,Sibu,MY,2.3,111.8167,82.71,69,20,5.01,few clouds
289,Chapais,CA,49.7834,-74.8492,56.98,98,100,5.57,overcast clouds
290,Natal,BR,-5.795,-35.2094,75.42,88,20,6.91,few clouds
291,Kavieng,PG,-2.5744,150.7967,83.57,74,100,13.02,light rain
292,Am Timan,TD,11.0297,20.2827,75.83,76,99,6.8,overcast clouds
293,Lahaina,US,20.8783,-156.6825,87.8,76,99,10.49,overcast clouds
294,Kaduqli,SD,11.0167,29.7167,74.57,84,100,7.31,moderate rain
295,Mnogovershinnyy,RU,53.9353,139.9242,77.22,58,100,2.98,overcast clouds
296,Onda,ES,39.9667,-0.25,74.89,55,0,3.67,clear sky
297,Khorramshahr,IR,30.4397,48.1664,91.36,25,99,9.22,dust
298,Manica,FR,49.0,-1.1667,58.5,72,0,4.56,clear sky
299,Broome,US,42.2506,-75.833,63.68,78,71,1.86,broken clouds
300,Novouzensk,RU,50.4592,48.1431,76.26,47,87,12.1,overcast clouds
301,Karoi,ZW,-16.8099,29.6925,50.59,67,0,3.96,clear sky
302,Bodden Town,KY,19.2833,-81.25,84.2,78,40,8.05,scattered clouds
303,Vardo,NO,70.3705,31.1107,49.98,93,100,9.22,overcast clouds
304,Riachao,BR,-7.3619,-46.6172,76.19,51,49,9.06,scattered clouds
305,Pandan,PH,14.0453,124.1694,85.51,76,74,5.53,moderate rain
306,Rocha,UY,-34.4833,-54.3333,60.39,99,100,4.54,overcast clouds
307,Sattahip,TH,12.6664,100.9007,82.49,78,75,11.5,broken clouds
308,Jalu,LY,29.0331,21.5482,75.69,55,0,8.61,clear sky
309,Nkan,GA,0.3833,9.7833,70.27,82,77,2.68,broken clouds
310,Kabalo,CD,-6.05,26.9167,69.75,47,86,4.0,overcast clouds
311,Tautira,PF,-17.7333,-149.15,77.61,77,59,18.03,light rain
312,Codrington,AU,-38.2667,141.9667,54.19,61,100,16.4,overcast clouds
313,Richards Bay,ZA,-28.783,32.0377,61.3,71,1,7.11,clear sky
314,Aklavik,CA,68.2191,-135.0107,71.89,49,32,15.59,scattered clouds
315,Anadyr,RU,64.75,177.4833,52.3,87,75,11.18,broken clouds
316,Stornoway,GB,58.2093,-6.3865,57.92,90,97,8.05,overcast clouds
317,Okmulgee,US,35.6234,-95.9605,85.37,65,0,0.0,clear sky
318,Lingao,CN,19.9103,109.6859,87.44,74,41,13.71,scattered clouds
319,Karratha,AU,-20.7377,116.8463,74.82,22,0,14.67,clear sky
320,Hualmay,PE,-11.0964,-77.6139,61.54,87,65,11.03,broken clouds
321,Jardim,BR,-21.4803,-56.1381,76.53,42,100,7.18,overcast clouds
322,Salalah,OM,17.0151,54.0924,77.0,95,100,16.4,light rain
323,Santa Maria,BR,-29.6842,-53.8069,74.5,57,0,16.11,clear sky
324,Bama,NG,11.5221,13.6856,78.94,69,94,12.12,overcast clouds
325,Lompoc,US,34.6391,-120.4579,68.77,85,100,10.36,mist
326,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,72.77,57,100,1.52,overcast clouds
327,Ballina,AU,-28.8667,153.5667,65.01,77,99,14.2,overcast clouds
328,Tilichiki,RU,60.4667,166.1,68.45,42,100,11.43,overcast clouds
329,Bata,GQ,1.8639,9.7658,73.08,80,96,7.87,overcast clouds
330,Santiago,CL,-33.4569,-70.6483,47.86,87,75,2.3,light intensity shower rain
331,Kemin,KG,42.7846,75.6892,71.04,44,100,3.78,overcast clouds
332,Rio Branco,BR,-9.9747,-67.81,75.81,88,0,2.3,clear sky
333,Coquimbo,CL,-29.9533,-71.3436,51.53,100,100,6.91,moderate rain
334,Shwebo,MM,22.5667,95.7,88.14,56,17,11.05,few clouds
335,Ust-Omchug,RU,61.15,149.6333,81.61,34,2,13.73,clear sky
336,Aykhal,RU,66.0,111.5,60.21,78,99,10.07,light rain
337,Obihiro,JP,42.9172,143.2044,72.81,85,87,6.38,overcast clouds
338,Bonfim,BR,3.0833,-59.95,79.18,75,98,1.43,moderate rain
339,Bilibino,RU,68.0546,166.4372,61.7,39,24,2.13,few clouds
340,Cherskiy,RU,68.75,161.3,67.24,29,43,8.86,scattered clouds
341,Mahebourg,MU,-20.4081,57.7,70.09,73,40,14.97,scattered clouds
342,General Pico,AR,-35.6566,-63.7568,43.27,44,78,9.06,broken clouds
343,Toktogul,KG,41.8708,72.9402,65.05,73,100,6.11,overcast clouds
344,Pio Xii,BR,-3.8325,-45.1525,76.87,69,97,3.6,overcast clouds
